playerID,awardID,yearID,lgID,tie,notes
bondto01,Pitching Triple Crown,1877,NL,MISSING,MISSING
hinespa01,Triple Crown,1878,NL,MISSING,MISSING
heckegu01,Pitching Triple Crown,1884,AA,MISSING,MISSING
radboch01,Pitching Triple Crown,1884,NL,MISSING,MISSING
oneilti01,Triple Crown,1887,AA,MISSING,MISSING
keefeti01,Pitching Triple Crown,1888,NL,MISSING,MISSING
clarkjo01,Pitching Triple Crown,1889,NL,MISSING,MISSING
rusieam01,Pitching Triple Crown,1894,NL,MISSING,MISSING
duffyhu01,Triple Crown,1894,NL,MISSING,MISSING
youngcy01,Pitching Triple Crown,1901,AL,MISSING,MISSING
lajoina01,Triple Crown,1901,AL,MISSING,MISSING
wadderu01,Pitching Triple Crown,1905,AL,MISSING,MISSING
mathech01,Pitching Triple Crown,1905,NL,MISSING,MISSING
chaseha01,Baseball Magazine All-Star,1908,AL,MISSING,1B
lajoina01,Baseball Magazine All-Star,1908,AL,MISSING,2B
lordha01,Baseball Magazine All-Star,1908,AL,MISSING,3B
crigelo01,Baseball Magazine All-Star,1908,AL,MISSING,C
sullibi03,Baseball Magazine All-Star,1908,AL,MISSING,C
crawfsa01,Baseball Magazine All-Star,1908,AL,MISSING,CF
stonege01,Baseball Magazine All-Star,1908,AL,MISSING,LF
walshed01,Baseball Magazine All-Star,1908,AL,MISSING,P1
youngcy01,Baseball Magazine All-Star,1908,AL,MISSING,P2
wadderu01,Baseball Magazine All-Star,1908,AL,MISSING,P3
jossad01,Baseball Magazine All-Star,1908,AL,MISSING,P4
donovbi01,Baseball Magazine All-Star,1908,AL,MISSING,P5
cobbty01,Baseball Magazine All-Star,1908,AL,MISSING,RF
wallabo01,Baseball Magazine All-Star,1908,AL,MISSING,SS
chaseha01,Baseball Magazine All-Star,1908,ML,MISSING,1B
lajoina01,Baseball Magazine All-Star,1908,ML,MISSING,2B
devliar01,Baseball Magazine All-Star,1908,ML,MISSING,3B
bresnro01,Baseball Magazine All-Star,1908,ML,MISSING,C
klingjo01,Baseball Magazine All-Star,1908,ML,MISSING,C
donlimi01,Baseball Magazine All-Star,1908,ML,MISSING,CF
clarkfr01,Baseball Magazine All-Star,1908,ML,MISSING,LF
walshed01,Baseball Magazine All-Star,1908,ML,MISSING,P1
mathech01,Baseball Magazine All-Star,1908,ML,MISSING,P2
youngcy01,Baseball Magazine All-Star,1908,ML,MISSING,P3
brownmo01,Baseball Magazine All-Star,1908,ML,MISSING,P4
ruckena01,Baseball Magazine All-Star,1908,ML,MISSING,P5
cobbty01,Baseball Magazine All-Star,1908,ML,MISSING,RF
wagneho01,Baseball Magazine All-Star,1908,ML,MISSING,SS
tennefr02,Baseball Magazine All-Star,1908,NL,MISSING,1B
eversjo01,Baseball Magazine All-Star,1908,NL,MISSING,2B
devliar01,Baseball Magazine All-Star,1908,NL,MISSING,3B
bresnro01,Baseball Magazine All-Star,1908,NL,MISSING,C
klingjo01,Baseball Magazine All-Star,1908,NL,MISSING,C
donlimi01,Baseball Magazine All-Star,1908,NL,MISSING,CF
clarkfr01,Baseball Magazine All-Star,1908,NL,MISSING,LF
brownmo01,Baseball Magazine All-Star,1908,NL,MISSING,P1
mathech01,Baseball Magazine All-Star,1908,NL,MISSING,P2
ruckena01,Baseball Magazine All-Star,1908,NL,MISSING,P3
willivi01,Baseball Magazine All-Star,1908,NL,MISSING,P4
reulbed01,Baseball Magazine All-Star,1908,NL,MISSING,P5
schulfr01,Baseball Magazine All-Star,1908,NL,MISSING,RF
wagneho01,Baseball Magazine All-Star,1908,NL,MISSING,SS
mathech01,Pitching Triple Crown,1908,NL,MISSING,MISSING
chaseha01,Baseball Magazine All-Star,1909,AL,MISSING,1B
collied01,Baseball Magazine All-Star,1909,AL,MISSING,2B
lordha01,Baseball Magazine All-Star,1909,AL,MISSING,3B
carribi02,Baseball Magazine All-Star,1909,AL,MISSING,C1
sullibi03,Baseball Magazine All-Star,1909,AL,MISSING,C2
streega01,Baseball Magazine All-Star,1909,AL,MISSING,C3
speaktr01,Baseball Magazine All-Star,1909,AL,MISSING,CF
crawfsa01,Baseball Magazine All-Star,1909,AL,MISSING,LF
walshed01,Baseball Magazine All-Star,1909,AL,MISSING,P1
planked01,Baseball Magazine All-Star,1909,AL,MISSING,P2
johnswa01,Baseball Magazine All-Star,1909,AL,MISSING,P3
mullige01,Baseball Magazine All-Star,1909,AL,MISSING,P4
woodjo02,Baseball Magazine All-Star,1909,AL,MISSING,P5
cobbty01,Baseball Magazine All-Star,1909,AL,MISSING,RF
bushdo01,Baseball Magazine All-Star,1909,AL,MISSING,SS
chaseha01,Baseball Magazine All-Star,1909,ML,MISSING,1B
collied01,Baseball Magazine All-Star,1909,ML,MISSING,2B
lordha01,Baseball Magazine All-Star,1909,ML,MISSING,3B
klingjo01,Baseball Magazine All-Star,1909,ML,MISSING,C1
carribi02,Baseball Magazine All-Star,1909,ML,MISSING,C2
gibsoge01,Baseball Magazine All-Star,1909,ML,MISSING,C3
speaktr01,Baseball Magazine All-Star,1909,ML,MISSING,CF
